French,English,Example Sentence
accepter,to accept,J'accepte le cadeau.
adorer,to adore,Nous adorons cette chanson.
aimer,to like,J'aime les pommes.
annuler,to cancel,Il annule la réunion.
apporter,to bring,Tu apportes le livre.
attraper,to catch,Elle attrape la balle.
bavarder,to chat,Ils bavardent souvent.
casser,to break,Je casse le verre.
chanter,to sing,Elle chante une chanson.
chercher,to look for,Je cherche mes clés.
commander,to order,Nous commandons une pizza.
commencer,to begin,La classe commence maintenant.
couper,to cut,Je coupe les légumes.
danser,to dance,Elle danse très bien.
demander,to ask,Il demande une question.
dessiner,to draw,Je dessine un chat.
détester,to hate,Ils détestent la pluie.
donner,to give,Je donne un cadeau.
écouter,to listen to,Nous écoutons le professeur.
emprunter,to borrow,J'emprunte un livre.
enlever,to remove,Elle enlève son manteau.
étudier,to study,Je dois étudier ce soir.
exprimer,to express,Il exprime ses idées.
fermer,to close,Tu fermes la porte.
gagner,"to win, to earn",Elle gagne le match.
garder,to keep,Je garde le secret.
goûter,to taste,Nous goûtons le gâteau.
habiter,to live,J'habite à Montréal.
jouer,to play,Ils jouent au foot.
laver,to wash,Je lave mes mains.
montrer,to show,Il montre le chemin.
oublier,to forget,Tu oublies ton sac.
parler,"to speak, to talk",Je parle français.
penser,to think,Elle pense à son frère.
porter,"to wear, to carry",Je porte un chapeau.
présenter,to introduce,Je te présente mon ami.
prêter,to lend,Il prête son stylo.
refuser,to refuse,Je refuse l'invitation.
regarder,to watch,Nous regardons un film.
rencontrer,to meet by chance,Je rencontre Paul.
rester,"to stay, to remain",Ils restent ici.
rêver,to dream,Je rêve souvent.
saluer,to greet,Elle salue le professeur.
sauter,to jump,Le chat saute.
sembler,to seem,Il semble triste.
skier,to ski,Nous skions en hiver.
téléphoner,to telephone,Je téléphone à maman.
tomber,to fall,Elle tombe souvent.
travailler,to work,Je travaille demain.
trouver,to find,Il trouve une solution.
utiliser,to use,Nous utilisons un ordinateur.
visiter,to visit a place,Je visite Paris.
voler,to fly,Les oiseaux volent.
