swimming pool, piscine
soon, beintôt
training, entraînement
money, argent
ceremony, cérémonie
buy, acheter
some, quelque
pay, payer
computer, ordinateur
    to / at, à
    of / from, de
    for, pour
    want, vouloir
    what / where, quel
    who / Whom, Qui
    where, Où
    how, Comment
dream, rêve
grade, grandiose
goals, objectifs
business, affaires
immediately, immédiatement
once, une fois
criminal, criminel
kid, gamin
herself, elle-même
with, avec
yet, encore
security, sécurité
reward, récompense
bait, appât
ice-cream, créme
because, parce que
life jacket, gilet
ride, promenade
many, beaucoup
really!, vraiment!
by, pas
latest, le plus récent
thing, chose
dites donc, its ok (says so)
enfin, finally

because, parce que
thank you, je vous en prie

it was great, c'etait super

open, ouvert 
